alias_name,price,commented,screen_size,cost_efficient,performance,endurance,appearance,camera_performance,days,ba_cap,ram,rom
IN2020,5399,21,6.78,9,10,8,9,8,334,4510,8,128
IN2021,5399,21,6.78,9,10,8,9,8,334,4510,8,128
IN2023,5399,21,6.78,9,10,8,9,8,334,4510,8,128
IN2025,5399,21,6.78,9,10,8,9,8,334,4510,8,128
INE-AL00,1279,150,6.3,8,7,7,8,7,1064,3340,4,128
INE-TL00,1279,150,6.3,8,7,7,8,7,1064,3340,4,128
IPH,2888,3073,4.7,7,10,7,8,9,2282,1810,1,16
IQOO 3,3998,22,6.44,8,10,8,8,8,273,4440,8,256
IQOO LPDDR5,3998,22,6.44,8,10,8,8,8,273,4440,12,256
IQOO UFS 3.1,3998,22,6.44,8,10,8,8,8,273,4440,8,256
IQOO neo3,3398,34,6.57,9,9,9,9,9,215,4500,8,256
IUNI N1,949,26,5.0,7,7,7,8,7,1917,2400,2,16
IVY,0,0,2.8,0,0,0,0,0,3986,0,0,0
Infinix X571,0,0,5.7,0,0,0,0,0,699,4500,3,32
Infinix X572,0,0,5.7,0,0,0,0,0,699,4300,2,16
Infinix Zero 4 Plus,2299,177,5.7,7,6,7,9,9,1948,3000,4,32
J3 Pro,500,176,5.0,8,2,8,8,8,1643,2600,2,16
J7 Nxt,0,1,5.5,0,0,0,0,0,1429,0,3,32
J7 Prime 2,0,0,5.5,0,0,0,0,0,1064,3300,3,32
J9110,6299,2,6.5,8,7,8,8,8,548,3200,6,128
JAT-AL00,838,12,6.087999999999999,6,4,5,7,6,692,3020,3,32
JAT-TL00,838,12,6.087999999999999,6,4,5,7,6,692,3020,3,32
JAZZ,3888,16,6.0,6,6,6,6,6,2466,0,2,0
JDN2-AL00,788,115,6.21,8,7,8,8,7,734,3400,4,64
JDN2-AL50,788,115,6.21,8,7,8,8,7,734,3400,4,64
JDN2-W09,788,115,6.21,8,7,8,8,7,734,3400,4,64
JEF-AN00,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JEF-AN20,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JEF-TN00,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JEF-TN20,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JER-AN10,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JER-AN20,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JER-TN10,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JER-TN20,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JKM-AL00,2299,20,6.63,8,9,9,8,8,81,4200,6,128
JKM-AL00a,2299,20,6.63,8,9,9,8,8,81,4200,6,128
JKM-AL00b,2299,20,6.63,8,9,9,8,8,81,4200,6,128
JKM-TL00,2299,20,6.63,8,9,9,8,8,81,4200,6,128
JMM-AL00,824,91,5.2,7,3,8,8,8,1186,3000,4,32
JMM-AL10,824,91,5.2,7,3,8,8,8,1186,3000,4,32
JMM-TL00,824,91,5.2,7,3,8,8,8,1186,3000,4,32
JMM-TL10,824,91,5.2,7,3,8,8,8,1186,3000,4,32
JNY-AL10,2599,4,6.53,8,8,9,9,8,19,4200,8,128
JNY-TL10,2599,14,6.53,8,8,9,9,8,19,3800,8,128
JSC-AN00,3699,27,6.57,8,8,9,9,9,19,4000,8,128
JSC-TN00,3699,27,6.57,8,10,8,9,9,216,4000,8,128
JSM-TL00,1198,153,6.5,8,8,8,9,8,821,3750,4,64
JSN-AL00,1198,153,6.5,8,8,8,9,8,821,3750,4,64
JSN-AL00a,1198,153,6.5,8,8,8,9,8,821,3750,4,64
JinGang,3698,22,6.44,8,10,8,8,8,182,4440,12,128
K-TOUCH T2A,89,0,2.4,0,0,0,0,0,1429,800,0,0
K-Touch 2A,89,0,2.4,0,0,0,0,0,1429,800,0,0
K-Touch X21 Max,1349,39,6.4,7,6,6,6,6,430,4000,6,64
K1,1599,877,6.4,9,8,9,9,9,782,3600,6,64
K10,2999,1,6.0,5,3,8,5,5,821,10000,6,128
K10 PLUS,1097,0,6.22,0,0,0,0,0,456,4050,4,64
K10 Plus,1097,0,6.22,0,0,0,0,0,456,4050,4,64
K10-plus,1097,0,6.22,0,0,0,0,0,456,4050,4,64
K100,499,5,2.2,5,5,5,5,5,3805,1100,0,0
K20,2198,36,6.39,10,9,8,8,8,552,4000,6,64
K3,1299,84,6.5,9,9,9,9,9,579,3765,6,64
K3 8G版,1799,84,6.5,9,9,9,9,9,579,3765,8,128
K5 Play,0,3,5.7,0,0,0,0,0,958,3000,3,32
K6,228,5,5.0,8,6,6,8,7,1795,1600,1,8
K60,1480,8,2.8,0,0,0,0,0,3866,0,0,0
K600,0,0,,0,0,0,0,0,0,0,0,0
K7x,1499,32,6.5,9,8,10,9,9,19,5000,6,128
K80,1299,32,5.5,5,5,5,5,5,2040,4000,4,64
K88,349,32,5.5,3,4,3,4,4,2282,2500,1,8
KB2000,3399,20,6.55,9,9,9,9,9,42,4500,8,128
KB2001,3399,20,6.55,9,9,9,9,9,42,4500,8,128
KB2003,3399,20,6.55,9,9,9,9,9,42,4500,8,128
KB2005,3399,20,6.55,9,9,9,9,9,42,4500,8,128
KB2007,3399,20,6.55,9,9,9,9,9,42,4500,8,128
KEYone升级版,0,1,,0,0,0,0,0,1064,0,6,0
KING 7,1260,65,6.0,4,4,4,6,5,1917,3610,3,32
KING 7S,1260,65,6.0,4,4,4,6,5,1917,3610,3,32
KING+7,1260,65,6.0,4,4,4,6,5,1917,3610,3,32
KING7,1260,65,6.0,4,4,4,6,5,1917,3610,3,32
KINGSUN-F2,1299,2,5.0,5,4,4,4,3,1979,1800,1,8
KIW-AL10,698,435,5.5,7,8,7,8,7,1826,3000,3,16
KIW-AL20,698,435,5.5,7,8,7,8,7,1826,3000,3,16
KIW-CL00,698,435,5.5,7,8,7,8,7,1826,3000,3,16
KIW-TL00,698,435,5.5,7,8,7,8,7,1826,3000,3,16
KIW-TL00H,698,435,5.5,7,8,7,8,7,1826,3000,3,16
KIW-UL00,698,435,5.5,7,8,7,8,7,1826,3000,3,16
KKG-AN00,2099,4,7.09,7,8,8,6,5,150,5000,6,128
KLE-A0,5299,33,7.1,9,9,10,7,10,122,5000,8,256
KLE-H0,5299,33,7.1,9,9,10,7,10,248,5000,8,256
KNIGHT,0,1,3.7,0,0,0,0,0,3986,0,0,0
KNT-AL10,849,339,5.7,7,8,8,7,8,1674,3500,4,32
KNT-AL20,849,339,5.7,7,8,8,7,8,1674,3500,4,32
KNT-TL10,849,339,5.7,7,8,8,7,8,1674,3500,4,32
KNT-UL10,849,339,5.7,7,8,8,7,8,1674,3500,4,32
KONKA 509,290,0,,0,0,0,0,0,3743,0,0,0
KONKA 610,999,0,,0,0,0,0,0,5508,0,0,0
KONKA 907,0,0,,0,0,0,0,0,3774,0,0,0
KONKA D1,0,0,,0,0,0,0,0,3774,0,0,0
KONKA D557,390,1,5.0,5,3,6,5,3,1856,0,1,8
KONKA D6+,238,1,5.0,6,6,5,8,6,1278,1800,2,8
KONKA D6S,278,3,5.0,1,1,4,1,1,1674,2000,2,16
KONKA E1,949,30,5.0,4,5,6,5,4,1735,4000,3,16
KONKA R1,699,19,5.0,6,5,5,6,6,1856,2150,1,16
KONKA R2,988,11,5.5,4,3,4,5,5,1826,2700,2,16
KONKA R8,699,2,5.0,4,2,4,0,0,1490,2200,2,16
KONKA S1,999,14,5.0,7,2,5,9,7,1764,2500,3,32
KRETA M7,9999,0,7.2,0,0,0,0,0,60,6000,8,256
KRETA-G25,5999,0,6.19,0,0,0,0,0,365,3300,8,128
KRETA_one,8999,1,5.2,0,0,0,0,0,1064,3300,6,128
KSA-AL00,899,52,6.26,6,6,7,6,5,518,4000,4,32
KSA-AL10,899,2,5.71,6,2,8,7,4,440,3020,3,64
KSA-TL00,899,52,6.26,6,6,7,6,5,776,4000,4,32
KT-960-G,1100,3,2.4,0,0,0,0,0,4717,960,0,0
KX30,600,0,,0,0,0,0,0,4351,1100,0,0
L,5299,0,6.53,0,0,0,0,0,31,4500,8,128
L1,2099,0,5.5,0,0,0,0,0,1429,2620,2,16
L100,198,4,1.65,0,0,0,0,0,4351,0,0,0
L13,599,0,,0,0,0,0,0,3165,1500,0,0
L18,840,1,3.0,0,0,0,0,0,4717,1300,0,0
L2,0,1,5.5,5,8,8,6,8,1064,3300,3,32
L3,168,0,2.31,0,0,0,0,0,1429,1700,0,0
L32M5-AD,0,0,6.67,0,0,0,0,0,0,4500,0,0
L32M5-EC,0,0,6.67,0,0,0,0,0,0,4500,0,0
L40M5-FA,0,0,6.67,0,0,0,0,0,0,4500,0,0
L43M5-EC,0,0,6.67,0,0,0,0,0,0,4500,0,0
L43M5-EK,0,0,6.67,0,0,0,0,0,0,4500,0,0
L43M5-EX,0,0,6.67,0,0,0,0,0,0,4500,0,0
L43M5-FA,0,0,6.67,0,0,0,0,0,0,4500,0,0
L50,2200,691,5.2,6,7,6,7,8,2494,3200,3,16
L50u,2100,691,5.2,6,7,6,7,8,2494,3200,3,16
L55M5-AZ,0,0,6.67,0,0,0,0,0,0,4500,0,0
L55M5-EC,0,0,6.67,0,0,0,0,0,0,4500,0,0
L55M5-EX,0,0,6.67,0,0,0,0,0,0,4500,0,0
L55M6-5P,3328,26,6.39,9,9,8,8,8,430,4000,8,256
L6,149,0,1.8,0,0,0,0,0,0,0,0,0
L60,499,7,2.4,3,3,6,6,2,3986,0,0,0
L65M5-EA,0,0,6.67,0,0,0,0,0,0,4500,0,0
L65M5-EC,0,0,6.67,0,0,0,0,0,0,4500,0,0
L65M6-5P,3328,26,6.39,9,9,8,8,8,430,4000,8,256
L681C,729,398,5.5,6,4,9,8,9,1186,4000,3,16
L681H,729,398,5.5,6,4,9,8,9,1186,4000,3,16
L681M,729,398,5.5,6,4,9,8,9,1186,4000,3,16
L681Q,729,398,5.5,6,4,9,8,9,1186,4000,3,16
L75M6-5P,3328,26,6.39,9,9,8,8,8,430,4000,8,256
LA-X5,859,20,5.5,8,2,7,9,9,1856,2400,3,32
LA1,780,1,6.53,2,2,2,2,2,334,5000,6,64
LA2-S,299,53,5.0,6,6,5,6,5,1979,2300,2,16
LA9-L,1499,6,5.0,6,7,7,7,5,2009,4700,2,16
LDN-AL00,2499,20,6.63,8,9,9,8,8,81,4200,8,128
LDN-AL10,2499,20,6.63,8,9,9,8,8,81,4200,8,128
LDN-AL20,2499,20,6.63,8,9,9,8,8,81,4200,8,128
LDN-TL00,2499,20,6.63,8,9,9,8,8,81,4200,8,128
LDN-TL10,2499,20,6.63,8,9,9,8,8,81,4200,8,128
LDN-TL20,2499,20,6.63,8,9,9,8,8,81,4200,8,128
LEX620,599,815,5.5,6,5,6,7,6,1704,3000,3,16
LEX622,950,38,5.5,5,5,3,5,5,1435,3000,3,32
LEX623,950,38,5.5,5,5,3,5,5,1435,3000,3,32
LEX626,950,38,5.5,5,5,3,5,5,1435,3000,3,32
LEX650,988,30,5.5,5,5,5,5,5,1326,4000,4,32
LEX651,988,30,5.5,5,5,5,5,5,1326,4000,4,32
LEX652,988,30,5.5,5,5,5,5,5,1326,4000,4,32
LEX656,988,30,5.5,5,5,5,5,5,1326,4000,4,32
LEX658,988,30,5.5,5,5,5,5,5,1326,4000,4,32
LEX659,988,30,5.5,5,5,5,5,5,1326,4000,4,32
LEX720,1299,215,5.5,8,10,8,7,7,1370,4070,4,32
LEX722,1299,215,5.5,8,10,8,7,7,1370,4070,4,32
LEX726,1299,215,5.5,8,10,8,7,7,1370,4070,4,32
LEX728,1299,215,5.5,8,10,8,7,7,1370,4070,4,32
LG,7569,1,6.0,5,6,6,8,6,1064,3300,6,128
LG AI版V30,7569,1,6.0,5,6,6,8,6,1064,3300,6,128
LG G6 Plus,0,0,,0,0,0,0,0,1429,0,0,0
LG G6 Pro,0,0,,0,0,0,0,0,1429,0,0,0
LG G7,4539,5,6.1,6,7,6,8,7,1064,3000,6,128
LG G710,4539,5,6.1,6,7,6,8,7,1064,3000,6,128
LG H840,0,2,5.3,3,5,3,5,3,0,0,3,32
LG Harmony4,0,0,6.1,0,0,0,0,0,334,3500,3,32
LG K10 Plus,0,0,5.3,0,0,0,0,0,1064,3000,3,32
LG M1,0,1,5.0,5,5,5,5,5,0,2125,1,8
LG Q6 Plus,2550,0,5.5,0,0,0,0,0,1429,0,4,64
LG Stylo 5,0,0,,0,0,0,0,0,699,3000,2,32
LG Tribute 5,0,1,5.0,5,5,5,5,5,0,2125,1,8
LG V30,6299,3,6.0,8,8,8,8,8,1064,3300,6,256
LG V30+α,7569,1,6.0,5,6,6,8,6,1064,3300,6,128
LG V30增强版,7569,1,6.0,5,6,6,8,6,1064,3300,6,128
LG V34 isai Beat,0,1,5.2,0,0,0,0,0,0,0,4,32
LG Wing,0,0,6.8,0,0,0,0,0,90,4000,8,256
LG 天鹅绒,0,0,6.8,0,0,0,0,0,213,4300,8,128
LG-D838,2599,31,5.9,7,8,7,7,7,2525,3200,3,32
LG-D857,1310,1110,5.5,7,8,6,8,8,2313,2940,3,32
LG-D858,1788,1110,5.5,7,8,6,8,8,2313,2940,3,32
LG-D859,1300,1110,5.5,7,8,6,8,8,2313,2940,3,32
LG-H818,3229,1,5.5,5,6,5,8,6,2040,2900,3,32
LG-H819,1799,113,5.5,5,6,5,6,7,2040,2900,3,32
LG-H830,2700,105,5.3,6,8,6,6,8,1764,2700,4,32
LG-H848,1809,24,5.3,8,5,8,8,9,1674,2700,3,32
LG-H868,2700,105,5.3,6,8,6,6,8,1764,2700,4,32
LG-H968,2249,38,5.7,7,4,6,9,9,1887,2900,4,64
LG-H990,480,20,5.7,7,7,6,6,6,1551,3200,4,64
LG-K530,0,0,,0,0,0,0,0,1429,2600,2,16
LG-K535,0,1,5.7,0,0,0,0,0,0,2900,3,32
LG-LS980,1550,651,5.2,7,7,8,7,7,2678,3000,2,16
LGM-X320K,0,1,3.2,0,0,0,0,0,3682,1500,0,0
LGM-X320L,0,1,3.2,0,0,0,0,0,3682,1500,0,0
LGM-X320S,0,1,3.2,0,0,0,0,0,3682,1500,0,0
LGV35,0,2,6.0,8,7,6,7,6,1064,3300,6,64
LGwing,0,0,6.8,0,0,0,0,0,90,4000,8,256
LG折叠屏手机,0,0,6.1,0,0,0,0,0,699,3500,6,128
LG旋转屏,0,0,6.8,0,0,0,0,0,90,4000,8,256
LIO-AL00,6999,44,6.76,9,9,8,9,9,31,4500,8,256
LIO-AN00,7369,44,6.76,9,9,8,9,9,31,4500,8,512
LIO-AN00P,12999,23,6.53,9,9,9,9,9,395,4500,12,512
LIO-AN00m,6999,19,6.76,9,9,8,9,8,31,4400,8,256
LIO-AN10,7399,44,6.53,8,9,8,8,9,395,4500,8,512
LIO-TL00,6999,19,6.76,9,9,8,9,8,31,4400,8,256
LIO-TN00,6999,19,6.76,9,9,8,9,8,31,4400,8,256
LLD-AL00,1699,2,6.5,9,9,8,8,8,145,4000,6,64
LLD-AL10,1699,2,6.5,9,9,8,8,8,145,4000,6,64
LLD-AL20,999,69,5.84,7,6,6,7,6,907,3000,4,64
LLD-AL30,999,69,5.84,7,6,6,7,6,907,3000,4,64
LLD-TL10,1699,2,6.5,9,9,8,8,8,145,4000,6,64
LMCV1,1799,1061,5.5,8,4,10,8,8,1521,5000,4,64
LND-AL30,793,42,5.99,9,4,7,8,8,1005,3000,4,32
LND-AL40,678,42,5.99,9,4,7,8,8,1005,3000,3,32
LND-TL30,678,42,5.99,9,4,7,8,8,1005,3000,3,32
LND-TL40,678,42,5.99,9,4,7,8,8,1005,3000,3,32
LON-AL00,11999,19,6.76,9,9,8,9,9,31,4400,8,256
LON-AL00-PD,8999,55,5.5,7,9,8,8,8,1460,4000,6,256
LRA-AL00,1249,27,6.3,6,9,7,8,6,385,4000,4,64
LRA-TL00,1249,27,6.3,6,9,7,8,6,385,4000,4,64
LYA-AL00,6999,206,6.76,9,9,9,9,9,31,4400,8,256
LYA-AL00P,12999,9,6.53,9,9,9,9,9,395,4500,8,512
LYA-AL10,6999,19,6.76,9,9,8,9,8,31,4400,8,256
LYA-TL00,6999,19,6.76,9,9,8,9,8,31,4400,8,256
Le X520,6999,0,5.7,0,0,0,0,0,426,2800,6,64
Le X521,6999,0,5.7,0,0,0,0,0,426,2800,6,64
Le X525,6999,0,5.7,0,0,0,0,0,426,2800,6,64
Le X526,700,815,5.5,6,5,6,7,6,1704,3000,3,32
Le X528,6999,0,5.7,0,0,0,0,0,426,2800,6,64
Le X529,6999,0,5.7,0,0,0,0,0,426,2800,6,64
Le X620,580,95,3.5,2,3,8,5,5,3621,1500,0,0
Le X621,580,95,3.5,2,3,8,5,5,3621,1500,0,0
Le X625,1250,234,5.5,5,5,4,5,5,1582,3000,4,64
Le X626,800,38,5.5,5,5,3,5,5,1370,3000,4,32
Le X820,1500,337,5.7,7,8,7,7,8,1704,3100,6,64
Le X822,1500,337,5.7,7,8,7,7,8,1704,3100,6,64
Lenovo 2 A8-50F,348,20,5.0,6,6,5,6,5,1979,2300,1,8
Lenovo A2580,318,8,4.5,7,6,5,6,5,1917,2000,1,8
Lenovo A2800-d,290,22,4.0,5,5,5,6,4,2070,1700,0,4
Lenovo A2860,290,7,4.5,6,5,6,5,4,1856,2000,1,8
Lenovo A3580,348,20,5.0,6,6,5,6,5,1979,2300,1,8
Lenovo A3860,370,20,5.0,6,6,5,6,5,1979,2300,1,8
Lenovo A3890,348,5,5.0,3,4,3,5,4,1856,2300,1,8
Lenovo A3910e70,559,8,5.0,5,4,5,6,4,2040,2300,1,8
Lenovo A3910t30,340,8,5.0,5,4,5,6,4,2040,2300,1,8
Lenovo A5500,390,18,5.5,6,6,6,6,5,2009,3000,1,8
Lenovo A5600,430,18,5.5,6,6,6,6,5,2009,3000,1,8
Lenovo A5860,420,18,5.5,6,6,6,6,5,1979,3000,2,16
Lenovo A5890,480,0,5.5,0,0,0,0,0,2070,3000,2,16
Lenovo A606,299,23,5.0,4,5,3,6,4,2313,0,0,4
Lenovo A6800,410,23,5.0,4,4,3,5,4,2070,0,1,8
Lenovo A7600,499,102,5.5,6,6,6,7,5,2129,3000,2,8
Lenovo A7600-m,469,102,5.5,6,6,6,7,5,2129,3000,2,8
Lenovo A806,500,931,5.0,7,6,6,6,6,2313,2500,2,16
Lenovo A808t,380,931,5.0,7,6,6,6,6,2313,2500,1,8
Lenovo A880,700,86,6.0,7,7,7,7,6,2890,2500,1,8
Lenovo A916,430,53,5.5,6,6,7,6,6,2313,2500,1,8
Lenovo A936,460,122,6.0,6,6,6,6,5,2129,3300,2,8
Lenovo K10e70,459,5,5.0,3,3,3,6,5,1643,2300,1,8
Lenovo K30-E,420,533,5.0,6,6,6,6,5,2466,2300,1,16
Lenovo K30-T,420,533,5.0,6,6,6,6,5,2466,2300,1,16
Lenovo K31-t3,470,533,5.0,6,6,6,6,5,1826,2300,2,8
Lenovo K320t,419,2,5.7,5,5,6,6,6,1095,3000,2,16
Lenovo K32c30,600,46,5.0,7,7,6,7,6,1795,2750,2,16
Lenovo K32c36,600,46,5.0,7,7,6,7,6,1795,2750,2,16
Lenovo K350t,898,12,5.99,8,7,8,7,5,767,4050,6,64
Lenovo K5 P,0,12,5.99,8,7,8,7,5,767,4050,6,64
Lenovo K50-T5,740,508,5.5,6,6,5,6,6,2101,3000,2,16
Lenovo K50-t3s,699,508,5.5,6,6,5,6,6,1948,3000,2,16
Lenovo K50-t5,740,508,5.5,6,6,5,6,6,2101,3000,2,16
Lenovo K51c78,880,110,5.5,6,7,7,6,6,1856,3400,2,16
Lenovo K520,2498,9,6.2,6,6,6,7,6,769,3500,6,64
Lenovo K520t,2498,9,6.2,6,6,6,7,6,769,3500,6,64
Lenovo K52e78,929,26,5.5,6,6,7,6,7,1735,3500,3,32
Lenovo K52t38,1178,0,5.5,0,0,0,0,0,1460,3300,3,16
Lenovo K8,0,2,5.2,0,0,0,0,0,1429,4000,3,32
Lenovo K80M,1299,32,5.5,5,5,5,5,5,2040,4000,4,64
Lenovo K920,1268,394,6.0,6,6,6,6,7,2221,4000,3,32
Lenovo L18011,498,6,5.45,6,5,6,4,4,913,4000,3,16
Lenovo L38011,599,3,5.7,0,0,0,0,0,958,3000,2,16
Lenovo L38012,645,10,6.0,6,6,6,7,6,907,3760,3,32
Lenovo L38021,599,3,5.7,0,0,0,0,0,958,3000,2,16
Lenovo L38031,653,2,5.7,7,6,6,7,4,767,3000,4,32
Lenovo L38041,898,12,5.99,8,7,8,7,5,767,4050,6,64
Lenovo L3811,1249,21,6.3,7,6,6,6,4,552,4050,6,64
Lenovo L38111,999,21,6.3,7,6,6,6,4,552,4050,4,64
Lenovo L58041,2498,9,6.2,6,6,6,7,6,769,3500,6,64
Lenovo L58091,2498,9,6.2,6,6,6,7,6,769,3500,6,64
Lenovo L78011,1499,145,6.39,8,4,8,8,8,707,3350,6,64
Lenovo L78012,1499,145,6.39,8,4,8,8,8,707,3350,6,64
Lenovo L78031,1499,145,6.39,8,4,8,8,8,707,3350,6,64
Lenovo L78032,1499,145,6.39,8,4,8,8,8,707,3350,6,64
Lenovo L78051,1999,33,6.39,7,7,7,6,7,581,4000,6,128
Lenovo L78071,880,24,6.3,7,7,6,7,6,707,3300,4,64
Lenovo L78121,1999,33,6.39,9,8,9,8,8,518,4000,6,64
Lenovo L79031,3449,3,6.65,10,10,8,8,8,121,5000,8,128
Lenovo L79041,3449,3,6.65,10,10,8,8,8,121,5000,8,128
Lenovo P1c58,928,114,5.5,5,5,7,6,6,1917,5000,2,16
Lenovo P1c72,960,114,5.5,5,5,7,6,6,1917,5000,3,16
Lenovo P2c72,1509,31,5.5,6,4,8,6,6,1582,5100,4,64
Lenovo P70-A,550,56,5.0,5,5,7,6,4,2466,4000,2,16
Lenovo P70-t,550,56,5.0,5,5,7,6,4,2466,4000,2,16
Lenovo PB1-750P,699,1,6.98,8,8,8,8,8,1856,4250,2,32
Lenovo PB1-770N,1590,10,6.8,6,6,5,7,7,2009,3500,2,32
Lenovo PB2-670N,3999,19,6.4,7,5,8,8,8,1460,4050,4,64
Lenovo S5Pro GT,2498,9,6.2,6,6,6,7,6,769,3500,6,64
Lenovo S850t,349,292,5.0,4,5,4,6,6,2494,2150,1,16
Lenovo S898t+,399,302,5.3,7,7,6,8,6,2647,2000,1,8
Lenovo X2-TO,599,495,5.0,4,5,4,6,5,2282,2300,2,16
Lenovo X3c50,1299,110,5.5,6,7,7,6,6,1856,3600,3,32
Lenovo X3c70,1899,110,5.5,6,7,7,6,6,1856,3600,3,64
Lenovo Z2,0,5,,0,0,0,0,0,2221,0,0,0
Lenovo Z5 Pro,1499,145,6.39,8,4,8,8,8,707,3350,6,64
Lenovo Z90-3,850,373,5.0,6,6,6,7,7,2101,3000,3,16
Lenovo Z90-7,1199,373,5.0,6,6,6,7,7,2040,3000,3,16
Lenovo+L78031,1499,145,6.39,8,4,8,8,8,707,3350,6,64
Letv X500,700,989,5.5,7,4,5,7,6,1582,3000,3,32
Letv X501,700,989,5.5,7,4,5,7,6,1582,3000,3,32
Letv X502,700,989,5.5,7,4,5,7,6,1582,3000,3,32
Letv X508,700,989,5.5,7,4,5,7,6,1582,3000,3,32
Letv X600,700,989,5.5,7,4,5,7,6,1582,3000,3,32
Letv X608,700,989,5.5,7,4,5,7,6,1582,3000,3,32
Letv X800,950,512,5.5,8,6,6,7,7,1979,3000,4,32
Letv X800+,950,512,5.5,8,6,6,7,7,1979,3000,4,32
Letv X900,0,668,6.33,7,6,7,8,8,1917,3400,4,128
Letv X900+,0,668,6.33,7,6,7,8,8,1917,3400,4,128
Letv X906,0,668,6.33,7,6,7,8,8,1917,3400,4,128
Lovme,399,3,5.0,3,3,3,3,3,2040,2000,1,8
Lovme-T6,1999,18,5.0,5,6,4,6,5,2040,2300,2,16
M,0,2,5.5,0,0,0,0,0,1429,0,6,0
M 8,1399,0,6.0,0,0,0,0,0,121,10000,8,128
M A5,599,2,5.45,4,4,10,4,4,944,3000,1,16
M-16,1598,348,6.0,10,9,8,9,9,852,3010,6,64
M-17,16999,41,8.0,8,10,8,9,8,381,4500,8,512
M-18,1099,8,3.2,0,0,0,0,0,3501,1500,0,0
M030,1999,613,4.0,5,6,5,7,6,3256,1600,1,0
M031,1999,613,4.0,5,6,5,7,6,3256,1600,1,0
M032,2199,613,4.0,5,6,5,7,6,3012,1700,1,16
M040,1699,1014,4.4,5,6,5,7,6,2890,1900,2,16
M045,1699,1014,4.4,5,6,5,7,6,2890,1900,2,16
M081M,3699,17,6.6,8,10,9,9,8,213,4500,8,128
M081Q,3699,17,6.6,8,10,9,9,8,213,4500,8,128
M091M,4299,6,6.6,8,10,8,7,6,213,4500,8,128
M091Q,4299,6,6.6,8,10,8,7,6,213,4500,8,128
M1,2159,0,5.45,0,0,0,0,0,1064,4000,2,16
M10,0,0,5.6,0,0,0,0,0,699,3000,3,16
M100,199,0,1.77,0,0,0,0,0,2709,800,0,0
M11,1199,0,6.3,0,0,0,0,0,456,4000,6,128
M12,0,0,6.7,0,0,0,0,0,334,7000,3,64
M15,1398,15,5.46,6,5,6,5,5,1064,3000,4,64
M1803D5XA,1599,180,5.99,6,6,5,6,6,1005,3400,8,256
M1803D5XC,1599,180,5.99,6,6,5,6,6,1005,3400,8,256
M1803D5XE,1599,180,5.99,6,6,5,6,6,1005,3400,8,256
M1803D5XT,1599,180,5.99,6,6,5,6,6,1005,3400,8,256
M1803E1A,3799,25,6.67,9,9,8,7,8,334,4780,8,128
M1803E1C,3799,25,6.67,9,9,8,7,8,334,4780,8,128
M1803E1T,3799,25,6.67,9,9,8,7,8,334,4780,8,128
M1803E6C,778,10,5.99,5,5,5,6,5,944,3080,3,32
M1803E6E,778,10,5.99,5,5,5,6,5,944,3080,3,32
M1803E6G,778,10,5.99,5,5,5,6,5,944,3080,3,32
M1803E6H,778,10,5.99,5,5,5,6,5,944,3080,3,32
M1803E6I,778,10,5.99,5,5,5,6,5,944,3080,3,32
M1803E6T,778,10,5.99,5,5,5,6,5,944,3080,3,32
M1803E7SG,1599,1,6.67,6,6,8,6,8,0,4820,6,128
M1803E7SH,1599,1,6.67,6,6,8,6,8,0,4820,6,128
M1804C3CC,498,8,5.45,7,5,6,7,5,899,3000,2,16
M1804C3CE,498,8,5.45,7,5,6,7,5,899,3000,2,16
M1804C3CG,498,8,5.45,7,5,6,7,5,899,3000,2,16
M1804C3CH,498,8,5.45,7,5,6,7,5,899,3000,2,16
M1804C3CI,498,8,5.45,7,5,6,7,5,899,3000,2,16
M1804C3CT,498,8,5.45,7,5,6,7,5,899,3000,2,16
M1804C3DC,1499,11,6.57,5,5,5,3,4,182,4520,6,128
M1804C3DE,1499,11,6.57,5,5,5,3,4,182,4520,6,128
M1804C3DG,1499,11,6.57,5,5,5,3,4,182,4520,6,128
M1804C3DH,1499,11,6.57,5,5,5,3,4,182,4520,6,128
M1804C3DI,1499,11,6.57,5,5,5,3,4,182,4520,6,128
M1804C3DT,1499,11,6.57,5,5,5,3,4,182,4520,6,128
M1804D2SC,919,163,5.99,6,6,4,6,6,948,3010,6,64
M1804D2SE,919,163,5.99,6,6,4,6,6,948,3010,6,64
M1804D2SG,1126,1,5.99,0,0,0,0,0,1064,3010,4,64
M1804D2SI,1126,1,5.99,0,0,0,0,0,1064,3010,4,64
M1804D2ST,919,163,5.99,6,6,4,6,6,948,3010,6,64
M1804E4A,1799,91,6.9,6,5,6,5,5,883,5500,6,128
M1804E4C,1799,91,6.9,6,5,6,5,5,883,5500,6,128
M1804E4T,1799,91,6.9,6,5,6,5,5,883,5500,6,128
M1805D1SC,1599,1,6.67,6,6,8,6,8,0,4820,6,128
M1805D1SE,1599,1,6.67,6,6,8,6,8,0,4820,6,128
M1805D1SG,0,0,,0,0,0,0,0,1064,4000,4,64
